_id,word,translate,tags,picture
1,antelope,羚羊,animal,c10/antelope.jpg
2,ant,螞蟻,animal,c10/ant.jpg
3,baboon,狒狒,animal,c10/baboon.jpg
4,bat,蝙蝠,animal,c10/bat.jpg
5,butterfly,蝴蝶,animal,c10/butterfly.jpg
6,calf,小牛,animal,c10/calf.jpg
7,camel,駱駝,animal,c10/camel.jpg
8,cat,貓,animal,c10/cat.jpg
9,chameleon,變色龍,animal,c10/chameleon.jpg
10,coucal,褐翅鴉鵑,animal,c10/coucal_bird.jpg
11,crocodile,鱷魚,animal,c10/crocodile.jpg
12,dog,狗,animal,c10/dog.jpg
13,donkey,驢,animal,c10/donkey.jpg
14,duck,鴨,animal,c10/duck.jpg
15,eagle,鷹,animal,c10/eagle.jpg
16,egret,白鷺,animal,c10/egret.jpg
17,elephant,象,animal,c10/elephant.jpg
18,fish,魚,animal,c10/fish.jpg
19,goat,山羊,animal,c10/goat.jpg
20,grasshopper,蚱蜢,animal,c10/grasshopper.jpg
21,hawk,鷹,animal,c10/hawk.jpg
22,hen,母雞,animal,c10/hen.jpg
23,hippopotamus,河馬,animal,c10/hippopotamus.jpg
24,horse,馬,animal,c10/horse.jpg
25,hyena,鬣狗,animal,c10/hyena.jpg
26,kingfisher,翠鳥,animal,c10/kingfisher.jpg
27,lion,獅子,animal,c10/lion.jpg
28,lizard,蜥蜴,animal,c10/lizard.jpg
29,monkey,猴,animal,c10/monkey.jpg
30,owl,貓頭鷹,animal,c10/owl.jpg
31,parrot,鸚鵡,animal,c10/parrot.jpg
32,pigeon,鴿子,animal,c10/pigeon.jpg
33,rabbit,兔子,animal,c10/rabbit.jpg
34,scorpion,蠍,animal,c10/scorpion.jpg
35,sheep,羊,animal,c10/sheep.jpg
36,snake,蛇,animal,c10/snake.jpg
37,spider,蜘蛛,animal,c10/spider.jpg
38,toad,蟾蜍,animal,c10/toad.jpg
39,vulture,禿鷲,animal,c10/vulture.jpg
40,warthog,疣豬,animal,c10/warthog.jpg